Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapNumber
0 days 01:48:01.892000,22.9,54.1,1010.7,True,31.0,88,0.8,56.0
0 days 01:49:01.905000,22.8,54.1,1010.9,True,30.9,134,0.6,56.0
0 days 01:50:01.953000,22.6,54.8,1010.8,True,30.4,128,1.0,57.0
0 days 01:51:01.936000,22.6,54.8,1010.8,True,30.7,0,0.6,58.0
0 days 01:52:01.947000,22.8,54.3,1010.8,True,30.7,54,1.1,59.0
0 days 01:53:01.961000,22.7,54.4,1010.8,True,30.5,157,0.8,60.0
0 days 01:54:01.974000,22.7,54.1,1010.7,True,30.4,155,1.3,60.0
0 days 01:55:01.990000,22.7,54.2,1010.7,True,30.5,0,0.7,61.0
0 days 01:56:02.017000,22.6,54.6,1010.8,True,30.5,145,0.4,62.0
0 days 01:57:02.018000,22.7,54.1,1010.8,True,30.5,170,1.0,63.0
0 days 01:58:02.032000,22.8,54.1,1010.7,True,30.6,215,0.9,63.0
0 days 01:59:02.043000,22.9,53.6,1010.7,True,30.6,121,0.7,64.0
0 days 02:00:02.058000,22.9,53.3,1010.7,True,30.6,0,0.5,65.0
0 days 02:01:02.072000,23.0,53.4,1010.8,True,30.7,150,1.6,66.0
0 days 02:02:02.086000,23.2,52.2,1010.8,True,30.7,72,0.8,67.0
0 days 02:03:02.103000,23.0,53.3,1010.7,True,30.8,23,0.5,67.0
0 days 02:04:02.161000,23.0,53.2,1010.7,True,30.4,129,0.5,68.0
0 days 02:05:02.127000,23.0,53.2,1010.7,True,30.4,148,1.0,69.0
0 days 02:06:02.144000,23.0,53.4,1010.8,True,30.5,171,1.5,70.0
0 days 02:07:02.158000,22.9,54.2,1010.7,False,30.5,161,2.2,70.0
0 days 02:08:02.170000,23.0,54.1,1010.7,False,30.6,159,1.1,71.0
0 days 02:09:02.182000,23.0,53.5,1010.7,False,30.6,115,1.6,72.0
0 days 02:10:02.196000,23.0,53.7,1010.7,False,30.6,151,2.4,73.0
0 days 02:11:02.209000,23.0,53.6,1010.7,False,30.5,0,1.4,73.0
0 days 02:12:02.224000,23.0,54.1,1010.7,False,30.4,158,0.9,74.0
0 days 02:13:02.239000,23.2,53.0,1010.7,False,30.5,147,1.7,75.0
0 days 02:14:02.252000,23.2,52.8,1010.6,False,30.8,167,1.4,76.0
0 days 02:15:02.266000,23.4,52.5,1010.7,False,30.8,193,1.2,77.0
0 days 02:16:02.279000,23.5,51.5,1010.6,False,30.8,195,1.4,77.0
0 days 02:17:02.295000,23.6,50.6,1010.7,False,30.8,151,2.2,78.0
0 days 02:18:02.307000,23.7,50.4,1010.6,False,31.1,157,1.5,78.0
0 days 02:19:02.323000,24.0,50.5,1010.6,False,31.2,153,1.5,78.0
