DriverNumber,LapNumber,RPM,nGear,Throttle,Brake,DRS
2,37,9476.70359281437,3.7934131736526946,43.02994011976048,110,15
2,38,9445.511976047905,3.7335329341317367,41.83832335329341,115,16
2,39,9420.805970149253,3.728358208955224,42.146268656716416,110,5
2,40,9526.644776119403,3.8328358208955224,44.84776119402985,110,12
2,41,9426.927272727273,3.812121212121212,42.81818181818182,110,16
2,42,9453.422619047618,3.830357142857143,42.955357142857146,117,20
2,43,9355.266666666666,3.7484848484848485,40.95454545454545,108,3
2,44,9425.520710059172,3.8165680473372783,43.710059171597635,104,13
2,45,9456.289085545723,3.746312684365782,42.176991150442475,117,15
2,46,9393.964285714286,3.7708333333333335,41.214285714285715,111,4
2,47,9409.480597014925,3.8835820895522386,44.080597014925374,103,0
2,48,9540.776758409786,3.837920489296636,44.68501529051988,106,0
2,49,9411.072948328267,3.8541033434650456,44.04255319148936,104,0
2,50,9481.218181818182,3.878787878787879,44.24242424242424,104,14
2,51,9456.33836858006,3.794561933534743,43.042296072507554,106,5
2,52,9422.495495495496,3.810810810810811,42.207207207207205,116,12
2,53,9472.84592145015,3.8519637462235647,44.468277945619334,107,21
2,54,9483.20606060606,3.8333333333333335,44.10909090909091,109,6
2,55,9470.401812688822,3.8519637462235647,43.894259818731115,103,0
2,56,9514.256097560976,3.8536585365853657,45.673780487804876,97,0
2,57,9581.484662576688,3.914110429447853,46.61963190184049,103,0
2,58,9521.259375,3.78125,44.278125,102,0
2,59,9615.821538461538,3.852307692307692,45.495384615384616,104,0
2,60,9559.171686746988,3.9578313253012047,46.566265060240966,98,0
2,61,9549.24074074074,3.8641975308641974,45.148148148148145,99,0
2,62,9552.887195121952,3.8719512195121952,45.71341463414634,102,0
2,63,9566.655279503106,3.8354037267080745,45.32608695652174,97,0
2,64,9523.741641337387,3.86322188449848,44.61702127659574,110,0
2,65,9557.664634146342,3.8628048780487805,44.792682926829265,105,0
2,66,9522.91743119266,3.850152905198777,43.85932721712538,98,0
2,67,9453.31419939577,3.8519637462235647,43.47432024169184,110,13
2,68,9455.648318042813,3.8103975535168195,42.948012232415905,107,16
2,69,9533.899696048633,3.8480243161094223,44.851063829787236,110,19
2,70,9392.833827893175,3.792284866468843,42.98813056379822,114,21
2,71,8033.981854838709,2.5625,31.588709677419356,147,5
2,72,9400.810055865923,3.463687150837989,41.21508379888268,111,14
2,73,9666.827692307692,3.9015384615384616,44.36615384615384,108,23
2,74,9561.91975308642,3.9537037037037037,45.611111111111114,105,3
2,75,9655.02492211838,3.9501557632398754,46.679127725856695,103,0
2,76,9658.673913043478,3.888198757763975,43.06832298136646,105,0
2,77,5119.447674418605,1.5162790697674418,21.951162790697673,198,0
3,1,9426.851063829787,3.702127659574468,49.17629179331307,72,0
3,2,9426.399380804953,3.637770897832817,47.4891640866873,76,0
3,3,9444.449541284404,3.6819571865443423,47.81651376146789,70,0
3,4,9479.205607476635,3.6666666666666665,47.19314641744548,71,0
3,5,9459.804281345565,3.709480122324159,48.32415902140673,76,0
3,6,9474.168224299065,3.7133956386292835,47.940809968847354,85,0
3,7,9493.640866873066,3.6873065015479876,47.362229102167184,76,0
3,8,9519.987577639751,3.6956521739130435,47.57453416149068,75,0
3,9,9485.50773993808,3.7120743034055725,48.126934984520126,78,0
3,10,9548.915625,3.765625,49.046875,76,0
3,11,9507.732087227414,3.7289719626168223,48.177570093457945,78,0
3,12,9601.892063492063,3.7746031746031745,51.43174603174603,78,0
3,13,9634.129337539433,3.7476340694006307,50.11356466876972,77,0
3,14,9624.723472668811,3.7234726688102895,49.18327974276527,82,0
3,15,9510.043613707165,3.7258566978193146,47.31152647975078,79,0
3,16,8893.14910025707,3.0796915167095116,47.19794344473008,101,0
3,17,9448.274336283186,3.4129793510324484,46.86725663716814,77,0
3,18,9390.599388379205,3.654434250764526,45.51681957186544,72,0
3,19,9294.363636363636,3.6484848484848484,44.31515151515151,73,0
3,20,9314.094801223242,3.6605504587155964,45.43730886850153,76,0
3,21,9309.17933130699,3.641337386018237,44.40425531914894,75,0
3,22,9351.822085889571,3.6717791411042944,45.11963190184049,75,0
3,23,9419.530487804877,3.6341463414634148,44.34451219512195,77,0
3,24,9298.064024390244,3.6219512195121952,44.76829268292683,72,0
3,25,9296.41717791411,3.665644171779141,44.75766871165644,75,0
3,26,9314.608955223881,3.653731343283582,44.63283582089552,75,0
3,27,9531.818452380952,3.5267857142857144,48.4375,75,0
3,28,9525.267692307692,3.5784615384615384,50.098461538461535,73,0
3,29,9544.585889570551,3.6012269938650308,48.13496932515337,68,0
3,30,9467.406060606061,3.5757575757575757,47.14242424242424,70,0
3,31,9478.246246246246,3.6036036036036037,48.53453453453454,68,0
3,32,9530.2749244713,3.5619335347432024,47.09969788519638,67,0
3,33,9462.714285714286,3.525835866261398,46.209726443769,71,0
3,34,9446.017857142857,3.5863095238095237,46.92261904761905,72,0
3,35,9385.335329341317,3.553892215568862,46.40718562874252,67,0
3,36,9444.22188449848,3.4680851063829787,45.10334346504559,74,0
3,37,9431.139880952382,3.550595238095238,46.69940476190476,72,0
3,38,9449.388059701492,3.5701492537313433,46.55820895522388,70,0
3,39,9377.345238095239,3.5416666666666665,46.87202380952381,74,0
3,40,9409.234939759037,3.5903614457831323,46.933734939759034,70,0
3,41,9384.394029850746,3.555223880597015,45.85671641791045,68,0
3,42,9357.395136778116,3.5379939209726445,45.03343465045592,76,0
3,43,9388.853293413174,3.55688622754491,46.452095808383234,73,0
3,44,9467.973372781065,3.606508875739645,47.40828402366864,68,0
3,45,9387.762762762763,3.5645645645645647,45.069069069069066,72,0
3,46,9407.759036144578,3.5572289156626504,44.65060240963855,68,0
3,47,9440.368263473054,3.592814371257485,45.15568862275449,67,0
3,48,9392.407854984895,3.5317220543806647,43.8368580060423,69,0
3,49,9386.669642857143,3.5922619047619047,44.87202380952381,65,0
3,50,9385.654545454545,3.56969696969697,44.515151515151516,68,0
3,51,9364.89090909091,3.5727272727272728,44.73030303030303,70,0
3,52,9441.005952380952,3.5952380952380953,45.586309523809526,74,0
3,53,9387.744807121662,3.4658753709198815,43.00593471810089,63,0
3,54,9413.724242424243,3.584848484848485,45.59090909090909,67,0
3,55,9518.094224924012,3.635258358662614,48.46808510638298,66,0
3,56,9473.158878504673,3.5763239875389408,46.57632398753894,70,0
3,57,9566.857575757576,3.609090909090909,48.775757575757574,68,0
3,58,9512.939209726444,3.617021276595745,47.559270516717326,67,0
3,59,9448.60923076923,3.5876923076923077,46.44307692307692,68,0
3,60,9471.129230769231,3.5753846153846154,46.45230769230769,68,0
3,61,9532.85846153846,3.624615384615385,48.32923076923077,67,0
3,62,9530.538461538461,3.6153846153846154,48.07692307692308,70,0
3,63,9521.018404907976,3.6134969325153374,47.41104294478528,68,0
3,64,9528.625,3.6402439024390243,48.98170731707317,66,0
3,65,9543.68923076923,3.609230769230769,48.067692307692305,68,0
3,66,9562.067484662577,3.6165644171779143,47.93251533742331,70,0
3,67,9591.33962264151,3.588050314465409,48.374213836477985,68,0
3,68,9579.846385542169,3.6656626506024095,49.65060240963855,70,0
3,69,9550.350931677018,3.630434782608696,49.2888198757764,65,0
3,70,9537.138036809816,3.6226993865030677,49.32208588957055,70,0
3,71,9454.63963963964,3.5195195195195197,44.891891891891895,76,0
3,72,8736.29017857143,2.4955357142857144,30.589285714285715,97,0
3,73,9277.832417582418,3.2005494505494507,43.29945054945055,74,0
3,74,9598.596273291925,3.6180124223602483,50.14596273291925,70,0
3,75,9629.60815047022,3.6394984326018807,50.175548589341695,71,0
3,76,9634.043076923077,3.686153846153846,51.59384615384615,73,0
3,77,9496.447852760737,3.6196319018404908,44.75766871165644,73,0
3,78,6296.061627906976,1.1209302325581396,13.986046511627906,87,0
5,1,9186.778787878788,3.9212121212121214,49.224242424242426,101,0
5,2,9187.932515337423,3.920245398773006,49.147239263803684,96,0
5,3,9181.611111111111,3.962962962962963,49.76543209876543,87,0
5,4,9228.293209876543,3.9444444444444446,49.67901234567901,85,0
5,5,9240.11620795107,3.9755351681957185,50.89296636085627,94,0
5,6,9220.183800623054,4.006230529595015,50.61993769470405,92,0
5,7,9254.891640866874,3.9659442724458205,51.65325077399381,91,0
5,8,9200.222910216718,4.006191950464396,49.758513931888544,90,0
5,9,9348.080745341615,3.984472049689441,52.43788819875776,85,0
5,10,9336.79430379747,3.9588607594936707,52.43987341772152,87,0
5,11,9277.211180124224,4.003105590062112,51.6583850931677,85,0
5,12,9443.267080745341,4.024844720496894,54.940993788819874,85,0
5,13,9401.817034700316,3.9747634069400632,54.90220820189275,77,0
5,14,9420.060126582279,3.9145569620253164,54.06012658227848,84,0
5,15,8627.54381443299,3.1804123711340204,52.108247422680414,105,0
5,16,9483.20241691843,3.6012084592145017,55.80664652567976,87,0
5,17,9288.720858895706,3.938650306748466,50.47852760736196,85,0
5,18,9195.537037037036,3.9074074074074074,48.03703703703704,87,0
