LapNumber,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,Year,DriverNumber,RPM,nGear,Throttle,Brake,DRS,Time,Driver,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Weight
11.0,26.8,45.9,1015.2,33.7,164.0,1.4,1.0,2018,10,9467.268882175227,3.6132930513595167,48.4441087613293,89,0,0 days 00:21:35.498000,GAS,0 days 00:01:19.714000,1.0,,,0 days 00:00:21.002000,0 days 00:00:37.239000,0 days 00:00:21.473000,0 days 00:20:36.797000,0 days 00:21:14.036000,0 days 00:21:35.509000,195.0,184.0,251.0,273.0,False,HYPERSOFT,15.0,False,Toro Rosso,0 days 00:20:15.784000,,1,10.0,False,,False,True,827.1750144531709
12.0,27.05,43.45,1015.15,33.9,172.5,1.95,1.0,2018,10,9508.462235649547,3.5498489425981874,48.6797583081571,89,0,0 days 00:22:54.616000,GAS,0 days 00:01:19.118000,1.0,,,0 days 00:00:20.958000,0 days 00:00:36.960000,0 days 00:00:21.200000,0 days 00:21:56.467000,0 days 00:22:33.427000,0 days 00:22:54.627000,198.0,188.0,250.0,271.0,True,HYPERSOFT,16.0,False,Toro Rosso,0 days 00:21:35.498000,,1,10.0,False,,False,True,825.8004087500767
13.0,27.1,43.9,1015.1,34.0,160.0,2.0,0.0,2018,10,9535.144144144144,3.5405405405405403,48.72372372372372,86,0,0 days 00:24:13.854000,GAS,0 days 00:01:19.238000,1.0,,,0 days 00:00:20.810000,0 days 00:00:37.170000,0 days 00:00:21.258000,0 days 00:23:15.437000,0 days 00:23:52.607000,0 days 00:24:13.865000,197.0,184.0,250.0,274.0,False,HYPERSOFT,17.0,False,Toro Rosso,0 days 00:22:54.616000,,12,10.0,False,,False,True,824.4258030469827
14.0,27.2,43.8,1015.1,33.7,137.0,1.0,0.0,2018,10,9450.216216216217,3.57957957957958,46.78378378378378,91,0,0 days 00:25:33.592000,GAS,0 days 00:01:19.738000,1.0,,,0 days 00:00:20.910000,0 days 00:00:37.235000,0 days 00:00:21.593000,0 days 00:24:34.775000,0 days 00:25:12.010000,0 days 00:25:33.603000,,187.0,251.0,274.0,False,HYPERSOFT,18.0,False,Toro Rosso,0 days 00:24:13.854000,,1,10.0,False,,False,True,823.0511973438886
15.0,27.2,44.0,1015.15,33.85,155.5,1.2,0.0,2018,10,9515.691394658754,3.4807121661721068,46.88724035608308,89,0,0 days 00:26:53.529000,GAS,0 days 00:01:19.937000,1.0,,,0 days 00:00:20.973000,0 days 00:00:37.295000,0 days 00:00:21.669000,0 days 00:25:54.576000,0 days 00:26:31.871000,0 days 00:26:53.540000,,185.0,251.0,273.0,False,HYPERSOFT,19.0,False,Toro Rosso,0 days 00:25:33.592000,,1,10.0,False,,False,True,821.6765916407944
16.0,27.3,44.1,1015.2,34.1,153.0,1.5,0.0,2018,10,9444.138554216868,3.560240963855421,47.3855421686747,88,0,0 days 00:28:14,GAS,0 days 00:01:20.471000,1.0,,,0 days 00:00:21.255000,0 days 00:00:37.452000,0 days 00:00:21.764000,0 days 00:27:14.795000,0 days 00:27:52.247000,0 days 00:28:14.011000,192.0,183.0,251.0,275.0,False,HYPERSOFT,20.0,False,Toro Rosso,0 days 00:26:53.529000,,1,9.0,False,,False,True,820.3019859377004
17.0,27.2,44.1,1015.2,33.8,157.0,0.8,0.0,2018,10,9578.626139817628,3.525835866261398,48.577507598784194,86,0,0 days 00:29:33.540000,GAS,0 days 00:01:19.540000,1.0,,,0 days 00:00:21.121000,0 days 00:00:37.098000,0 days 00:00:21.321000,0 days 00:28:35.132000,0 days 00:29:12.230000,0 days 00:29:33.551000,196.0,189.0,251.0,273.0,False,HYPERSOFT,21.0,False,Toro Rosso,0 days 00:28:14,,1,9.0,False,,False,True,818.9273802346062
18.0,27.35,43.85,1015.2,34.2,169.5,1.5,0.0,2018,10,9460.467065868264,3.62874251497006,48.84131736526946,86,0,0 days 00:30:52.569000,GAS,0 days 00:01:19.029000,1.0,,,0 days 00:00:20.832000,0 days 00:00:36.873000,0 days 00:00:21.324000,0 days 00:29:54.383000,0 days 00:30:31.256000,0 days 00:30:52.580000,,190.0,251.0,273.0,True,HYPERSOFT,22.0,False,Toro Rosso,0 days 00:29:33.540000,,1,9.0,False,,False,True,817.5527745315121
19.0,27.3,44.4,1015.2,34.0,173.0,1.5,0.0,2018,10,9455.01524390244,3.5792682926829267,48.30487804878049,82,0,0 days 00:32:11.714000,GAS,0 days 00:01:19.145000,1.0,,,0 days 00:00:20.798000,0 days 00:00:37.094000,0 days 00:00:21.253000,0 days 00:31:13.378000,0 days 00:31:50.472000,0 days 00:32:11.725000,202.0,187.0,251.0,272.0,False,HYPERSOFT,23.0,False,Toro Rosso,0 days 00:30:52.569000,,1,8.0,False,,False,True,816.178168828418
20.0,27.2,45.2,1015.2,33.8,150.0,1.5,0.0,2018,10,9429.014925373134,3.632835820895522,49.50149253731343,91,0,0 days 00:33:30.896000,GAS,0 days 00:01:19.182000,1.0,,,0 days 00:00:20.776000,0 days 00:00:36.980000,0 days 00:00:21.426000,0 days 00:32:32.501000,0 days 00:33:09.481000,0 days 00:33:30.907000,201.0,186.0,251.0,273.0,False,HYPERSOFT,24.0,False,Toro Rosso,0 days 00:32:11.714000,,1,8.0,False,,False,True,814.8035631253239
21.0,27.2,45.35,1015.1,33.95,166.0,1.35,0.0,2018,10,9551.714285714286,3.623100303951368,50.58358662613982,82,0,0 days 00:34:50.143000,GAS,0 days 00:01:19.247000,1.0,,,0 days 00:00:20.891000,0 days 00:00:37.085000,0 days 00:00:21.271000,0 days 00:33:51.798000,0 days 00:34:28.883000,0 days 00:34:50.154000,203.0,189.0,250.0,272.0,False,HYPERSOFT,25.0,False,Toro Rosso,0 days 00:33:30.896000,,1,7.0,False,,False,True,813.4289574222298
22.0,27.2,45.6,1015.1,34.1,170.0,1.5,0.0,2018,10,9551.021406727828,3.620795107033639,50.5565749235474,78,0,0 days 00:36:08.967000,GAS,0 days 00:01:18.824000,1.0,,,0 days 00:00:20.676000,0 days 00:00:36.864000,0 days 00:00:21.284000,0 days 00:35:10.830000,0 days 00:35:47.694000,0 days 00:36:08.978000,205.0,186.0,251.0,271.0,True,HYPERSOFT,26.0,False,Toro Rosso,0 days 00:34:50.143000,,1,7.0,False,,False,True,812.0543517191356
23.0,27.2,44.9,1015.1,34.3,162.0,2.2,0.0,2018,10,9566.787878787878,3.633333333333333,51.50606060606061,81,0,0 days 00:37:27.398000,GAS,0 days 00:01:18.431000,1.0,,,0 days 00:00:20.586000,0 days 00:00:36.839000,0 days 00:00:21.006000,0 days 00:36:29.564000,0 days 00:37:06.403000,0 days 00:37:27.409000,206.0,190.0,250.0,271.0,True,HYPERSOFT,27.0,False,Toro Rosso,0 days 00:36:08.967000,,1,6.0,False,,False,True,810.6797460160416
24.0,27.55,43.8,1015.1,34.45,167.5,1.65,0.0,2018,10,9646.270769230769,3.5538461538461537,50.003076923076925,80,0,0 days 00:38:45.968000,GAS,0 days 00:01:18.570000,1.0,,,0 days 00:00:20.590000,0 days 00:00:36.942000,0 days 00:00:21.038000,0 days 00:37:47.999000,0 days 00:38:24.941000,0 days 00:38:45.979000,,191.0,249.0,268.0,False,HYPERSOFT,28.0,False,Toro Rosso,0 days 00:37:27.398000,,1,6.0,False,,False,True,809.3051403129475
25.0,27.3,47.1,1015.0,33.8,180.0,0.8,0.0,2018,10,9556.130303030302,3.6575757575757577,51.29090909090909,82,0,0 days 00:40:04.669000,GAS,0 days 00:01:18.701000,1.0,,,0 days 00:00:20.595000,0 days 00:00:36.999000,0 days 00:00:21.107000,0 days 00:39:06.574000,0 days 00:39:43.573000,0 days 00:40:04.680000,202.0,190.0,250.0,271.0,False,HYPERSOFT,29.0,False,Toro Rosso,0 days 00:38:45.968000,,1,6.0,False,,False,True,807.9305346098533
26.0,27.3,47.1,1015.0,33.8,180.0,0.8,0.0,2018,10,9518.352583586626,3.60790273556231,49.41641337386018,79,0,0 days 00:41:23.074000,GAS,0 days 00:01:18.405000,1.0,,,0 days 00:00:20.522000,0 days 00:00:36.872000,0 days 00:00:21.011000,0 days 00:40:25.202000,0 days 00:41:02.074000,0 days 00:41:23.085000,,187.0,250.0,270.0,True,HYPERSOFT,30.0,False,Toro Rosso,0 days 00:40:04.669000,,1,6.0,False,,False,True,806.5559289067593
27.0,27.05,48.2,1015.0,33.75,138.5,1.6,0.0,2018,10,9563.349544072948,3.6595744680851054,50.41337386018237,88,0,0 days 00:42:41.986000,GAS,0 days 00:01:18.912000,1.0,,,0 days 00:00:20.640000,0 days 00:00:37.139000,0 days 00:00:21.133000,0 days 00:41:43.725000,0 days 00:42:20.864000,0 days 00:42:41.997000,204.0,191.0,250.0,271.0,False,HYPERSOFT,31.0,False,Toro Rosso,0 days 00:41:23.074000,,1,6.0,False,,False,True,805.1813232036651
28.0,27.0,48.3,1015.1,34.2,169.0,1.9,0.0,2018,10,9531.91076923077,3.624615384615385,50.38461538461539,77,0,0 days 00:44:00.221000,GAS,0 days 00:01:18.235000,1.0,,,0 days 00:00:20.503000,0 days 00:00:36.770000,0 days 00:00:20.962000,0 days 00:43:02.500000,0 days 00:43:39.270000,0 days 00:44:00.232000,207.0,192.0,251.0,271.0,True,HYPERSOFT,32.0,False,Toro Rosso,0 days 00:42:41.986000,,1,6.0,False,,False,True,803.806717500571
29.0,27.4,46.1,1015.0,34.4,158.0,0.9,0.0,2018,10,9522.400611620797,3.657492354740061,49.97553516819572,78,0,0 days 00:45:18.311000,GAS,0 days 00:01:18.090000,1.0,,,0 days 00:00:20.442000,0 days 00:00:36.702000,0 days 00:00:20.946000,0 days 00:44:20.674000,0 days 00:44:57.376000,0 days 00:45:18.322000,206.0,192.0,251.0,271.0,True,HYPERSOFT,33.0,False,Toro Rosso,0 days 00:44:00.221000,,1,6.0,False,,False,True,802.4321117974769
30.0,27.5,45.6,1015.0,34.4,158.0,2.1,0.0,2018,10,9559.568389057751,3.638297872340425,51.05775075987842,80,0,0 days 00:46:36.613000,GAS,0 days 00:01:18.302000,1.0,,,0 days 00:00:20.483000,0 days 00:00:36.772000,0 days 00:00:21.047000,0 days 00:45:38.805000,0 days 00:46:15.577000,0 days 00:46:36.624000,207.0,191.0,250.0,273.0,False,HYPERSOFT,34.0,False,Toro Rosso,0 days 00:45:18.311000,,1,6.0,False,,False,True,801.0575060943828
31.0,27.5,45.45,1014.9,34.35,165.5,1.9,0.0,2018,10,9510.877300613496,3.5950920245398774,49.1840490797546,81,0,0 days 00:47:54.876000,GAS,0 days 00:01:18.263000,1.0,,,0 days 00:00:20.516000,0 days 00:00:36.747000,0 days 00:00:21,0 days 00:46:57.140000,0 days 00:47:33.887000,0 days 00:47:54.887000,208.0,192.0,250.0,271.0,False,HYPERSOFT,35.0,False,Toro Rosso,0 days 00:46:36.613000,,1,6.0,False,,False,True,799.6829003912887
32.0,27.5,45.8,1014.9,34.2,168.0,1.6,0.0,2018,10,9530.760736196318,3.625766871165644,50.42638036809816,84,0,0 days 00:49:13.506000,GAS,0 days 00:01:18.630000,1.0,,,0 days 00:00:20.458000,0 days 00:00:37.073000,0 days 00:00:21.099000,0 days 00:48:15.345000,0 days 00:48:52.418000,0 days 00:49:13.517000,206.0,191.0,250.0,271.0,False,HYPERSOFT,36.0,False,Toro Rosso,0 days 00:47:54.876000,,1,6.0,False,,False,True,798.3082946881946
33.0,27.6,45.2,1015.0,35.0,241.0,1.4,0.0,2018,10,9525.430303030304,3.624242424242424,50.16969696969697,80,0,0 days 00:50:31.781000,GAS,0 days 00:01:18.275000,1.0,,,0 days 00:00:20.463000,0 days 00:00:36.803000,0 days 00:00:21.009000,0 days 00:49:33.980000,0 days 00:50:10.783000,0 days 00:50:31.792000,,191.0,250.0,272.0,False,HYPERSOFT,37.0,False,Toro Rosso,0 days 00:49:13.506000,,1,6.0,False,,False,True,796.9336889851005
34.0,27.5,45.75,1014.95,35.05,199.0,1.25,0.0,2018,10,9579.472727272729,3.587878787878788,50.06969696969697,86,0,0 days 00:51:50.471000,GAS,0 days 00:01:18.690000,1.0,,,0 days 00:00:20.561000,0 days 00:00:37.087000,0 days 00:00:21.042000,0 days 00:50:52.353000,0 days 00:51:29.440000,0 days 00:51:50.482000,207.0,189.0,250.0,272.0,False,HYPERSOFT,38.0,False,Toro Rosso,0 days 00:50:31.781000,,1,6.0,False,,False,True,795.5590832820063
35.0,27.5,45.7,1014.9,34.9,171.0,1.3,0.0,2018,10,9441.860606060603,3.606060606060606,49.5,87,0,0 days 00:53:09.061000,GAS,0 days 00:01:18.590000,1.0,,,0 days 00:00:20.552000,0 days 00:00:37.008000,0 days 00:00:21.030000,0 days 00:52:11.034000,0 days 00:52:48.042000,0 days 00:53:09.072000,,190.0,251.0,272.0,False,HYPERSOFT,39.0,False,Toro Rosso,0 days 00:51:50.471000,,1,6.0,False,,False,True,794.1844775789123
36.0,27.6,46.1,1015.0,35.2,196.0,2.1,0.0,2018,10,8847.410447761195,2.890547263681592,48.6044776119403,109,0,0 days 00:54:28.109000,GAS,0 days 00:01:19.048000,1.0,,,0 days 00:00:20.504000,0 days 00:00:37.156000,0 days 00:00:21.388000,0 days 00:53:29.576000,0 days 00:54:06.732000,0 days 00:54:28.120000,204.0,192.0,251.0,272.0,False,HYPERSOFT,40.0,False,Toro Rosso,0 days 00:53:09.061000,,1,6.0,False,,False,True,792.8098718758182
37.0,27.5,46.25,1015.05,35.3,173.5,1.2,0.0,2018,10,9854.641176470588,3.217647058823529,50.36176470588235,97,0,0 days 00:56:04.625000,GAS,0 days 00:01:36.516000,1.0,,0 days 00:55:41.127000,0 days 00:00:20.891000,0 days 00:00:37.485000,0 days 00:00:38.140000,0 days 00:54:49.011000,0 days 00:55:26.496000,0 days 00:56:04.636000,196.0,192.0,,272.0,False,HYPERSOFT,41.0,False,Toro Rosso,0 days 00:54:28.109000,,1,10.0,False,,False,False,791.435266172724
38.0,27.4,46.9,1015.1,35.1,191.0,1.3,0.0,2018,10,9703.883435582822,3.4907975460122698,48.50920245398773,92,0,0 days 00:57:25.207000,GAS,0 days 00:01:20.582000,2.0,0 days 00:56:05.315000,,0 days 00:00:22.982000,0 days 00:00:36.619000,0 days 00:00:20.981000,0 days 00:56:27.618000,0 days 00:57:04.237000,0 days 00:57:25.218000,185.0,186.0,254.0,276.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:56:04.625000,,1,10.0,False,,False,False,790.06066046963
39.0,27.4,47.5,1015.2,35.8,0.0,0.8,0.0,2018,10,9577.748466257668,3.604294478527607,49.122699386503065,90,0,0 days 00:58:43.446000,GAS,0 days 00:01:18.239000,2.0,,,0 days 00:00:20.426000,0 days 00:00:36.946000,0 days 00:00:20.867000,0 days 00:57:45.644000,0 days 00:58:22.590000,0 days 00:58:43.457000,201.0,188.0,254.0,277.0,False,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:57:25.207000,,1,10.0,False,,False,True,788.6860547665358
40.0,27.45,47.8,1015.0,36.15,243.5,1.05,0.0,2018,10,9484.366666666669,3.5454545454545454,47.26969696969697,93,16,0 days 01:00:01.296000,GAS,0 days 00:01:17.850000,2.0,,,0 days 00:00:20.359000,0 days 00:00:36.348000,0 days 00:00:21.143000,0 days 00:59:03.816000,0 days 00:59:40.164000,0 days 01:00:01.307000,200.0,187.0,256.0,278.0,True,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:58:43.446000,,1,10.0,False,,False,True,787.3114490634417
41.0,27.5,47.6,1015.1,36.4,310.0,0.8,0.0,2018,10,9497.103030303031,3.5727272727272728,47.345454545454544,99,20,0 days 01:01:20.317000,GAS,0 days 00:01:19.021000,2.0,,,0 days 00:00:20.645000,0 days 00:00:36.951000,0 days 00:00:21.425000,0 days 01:00:21.952000,0 days 01:00:58.903000,0 days 01:01:20.328000,202.0,181.0,262.0,282.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 01:00:01.296000,,1,10.0,False,,False,True,785.9368433603477
42.0,27.4,48.9,1015.0,36.6,167.0,1.9,0.0,2018,10,9493.981762917932,3.486322188449848,46.151975683890576,94,4,0 days 01:02:39.313000,GAS,0 days 00:01:18.996000,2.0,,,0 days 00:00:20.782000,0 days 00:00:37.076000,0 days 00:00:21.138000,0 days 01:01:41.110000,0 days 01:02:18.186000,0 days 01:02:39.324000,198.0,186.0,262.0,281.0,False,SUPERSOFT,5.0,True,Toro Rosso,0 days 01:01:20.317000,,1,10.0,False,,False,True,784.5622376572535
43.0,27.25,49.9,1015.05,36.8,171.5,1.5,0.0,2018,10,9551.09009009009,3.630630630630631,48.15915915915916,90,0,0 days 01:03:58.631000,GAS,0 days 00:01:19.318000,2.0,,,0 days 00:00:21.208000,0 days 00:00:37.045000,0 days 00:00:21.065000,0 days 01:03:00.532000,0 days 01:03:37.577000,0 days 01:03:58.642000,192.0,188.0,254.0,280.0,False,SUPERSOFT,6.0,True,Toro Rosso,0 days 01:02:39.313000,,1,10.0,False,,False,True,783.1876319541594
44.0,27.1,50.9,1015.1,37.0,176.0,1.1,0.0,2018,10,9531.360606060603,3.587878787878788,48.333333333333336,91,0,0 days 01:05:17.403000,GAS,0 days 00:01:18.772000,2.0,,,0 days 00:00:20.712000,0 days 00:00:36.799000,0 days 00:00:21.261000,0 days 01:04:19.354000,0 days 01:04:56.153000,0 days 01:05:17.414000,197.0,185.0,254.0,278.0,False,SUPERSOFT,7.0,True,Toro Rosso,0 days 01:03:58.631000,,1,10.0,False,,False,True,781.8130262510653
45.0,26.9,51.6,1015.2,36.3,191.0,1.7,0.0,2018,10,9482.941896024466,3.5902140672782874,47.81039755351682,92,0,0 days 01:06:36.133000,GAS,0 days 00:01:18.730000,2.0,,,0 days 00:00:20.659000,0 days 00:00:36.726000,0 days 00:00:21.345000,0 days 01:05:38.073000,0 days 01:06:14.799000,0 days 01:06:36.144000,200.0,184.0,255.0,278.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 01:05:17.403000,,1,10.0,False,,False,True,780.4384205479712
46.0,26.8,52.1,1015.15,36.55,167.0,1.4,0.0,2018,10,9463.648484848483,3.587878787878788,47.68484848484849,92,0,0 days 01:07:54.838000,GAS,0 days 00:01:18.705000,2.0,,,0 days 00:00:20.805000,0 days 00:00:36.853000,0 days 00:00:21.047000,0 days 01:06:56.949000,0 days 01:07:33.802000,0 days 01:07:54.849000,201.0,188.0,256.0,277.0,False,SUPERSOFT,9.0,True,Toro Rosso,0 days 01:06:36.133000,,1,10.0,False,,False,True,779.063814844877
47.0,26.9,51.9,1015.2,36.6,255.0,1.4,0.0,2018,10,9749.033536585366,3.640243902439024,51.52134146341464,90,0,0 days 01:09:13.968000,GAS,0 days 00:01:19.130000,2.0,,,0 days 00:00:20.712000,0 days 00:00:37.116000,0 days 00:00:21.302000,0 days 01:08:15.561000,0 days 01:08:52.677000,0 days 01:09:13.979000,197.0,185.0,253.0,270.0,False,SUPERSOFT,10.0,True,Toro Rosso,0 days 01:07:54.838000,,1,9.0,False,,False,True,777.689209141783
48.0,26.7,52.8,1015.0,36.6,155.0,1.8,0.0,2018,10,9598.782874617737,3.6269113149847096,50.82262996941896,88,0,0 days 01:10:31.244000,GAS,0 days 00:01:17.276000,2.0,,,0 days 00:00:20.247000,0 days 00:00:36.242000,0 days 00:00:20.787000,0 days 01:09:34.226000,0 days 01:10:10.468000,0 days 01:10:31.255000,210.0,190.0,253.0,273.0,True,SUPERSOFT,11.0,True,Toro Rosso,0 days 01:09:13.968000,,1,9.0,False,,False,True,776.3146034386889
49.0,26.55,53.55,1015.1,36.5,149.0,1.8,0.0,2018,10,9463.583333333334,3.5308641975308643,47.73456790123457,87,13,0 days 01:11:48.938000,GAS,0 days 00:01:17.694000,2.0,,,0 days 00:00:20.349000,0 days 00:00:36.414000,0 days 00:00:20.931000,0 days 01:10:51.604000,0 days 01:11:28.018000,0 days 01:11:48.949000,204.0,193.0,252.0,275.0,False,SUPERSOFT,12.0,True,Toro Rosso,0 days 01:10:31.244000,,1,9.0,False,,False,True,774.9399977355947
50.0,26.7,53.3,1015.2,36.7,159.0,1.3,0.0,2018,10,9336.71511627907,3.5232558139534884,44.85174418604651,102,25,0 days 01:13:07.954000,GAS,0 days 00:01:19.016000,2.0,,,0 days 00:00:20.423000,0 days 00:00:36.531000,0 days 00:00:22.062000,0 days 01:12:09.372000,0 days 01:12:45.903000,0 days 01:13:07.965000,,192.0,260.0,277.0,False,SUPERSOFT,13.0,True,Toro Rosso,0 days 01:11:48.938000,,1,8.0,False,,False,True,773.5653920325007
51.0,26.7,53.6,1015.1,36.3,151.0,1.4,0.0,2018,10,9473.262048192772,3.536144578313253,47.07831325301205,94,6,0 days 01:14:29.401000,GAS,0 days 00:01:21.447000,2.0,,,0 days 00:00:21.911000,0 days 00:00:37.708000,0 days 00:00:21.828000,0 days 01:13:29.876000,0 days 01:14:07.584000,0 days 01:14:29.412000,196.0,179.0,259.0,278.0,False,SUPERSOFT,14.0,True,Toro Rosso,0 days 01:13:07.954000,,1,8.0,False,,False,True,772.1907863294065
52.0,26.65,54.25,1015.2,36.1,163.5,2.1,0.0,2018,10,9601.41875,3.590625,50.05,84,0,0 days 01:15:48.853000,GAS,0 days 00:01:19.452000,2.0,,,0 days 00:00:21.209000,0 days 00:00:37.091000,0 days 00:00:21.152000,0 days 01:14:50.621000,0 days 01:15:27.712000,0 days 01:15:48.864000,198.0,185.0,252.0,277.0,False,SUPERSOFT,15.0,True,Toro Rosso,0 days 01:14:29.401000,,1,7.0,False,,False,True,770.8161806263124
