LapNumber,TrackTemp,RPM,Throttle,Brake,DRS,LapTime,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Weight,PitDuration
77.0,34.55,9606.969788519638,46.725075528700906,95,18,78.505,0,3.0,40.0,1,0,736.4510380489597,0.0
78.0,34.46666666666667,5964.596306068602,13.62664907651715,102,3,79.179,0,3.0,41.0,1,0,735.0764323458656,0.0
1.0,33.75,9407.550295857987,43.33431952662722,99,0,90.842,0,6.0,20.0,1,1,836.6387283875405,0.0
2.0,33.9,9441.344410876132,43.8821752265861,99,0,80.609,1,1.0,4.0,0,1,835.3251311058514,0.0
3.0,33.9,9189.547619047618,44.75595238095238,99,0,79.711,1,1.0,5.0,0,0,834.0115338241621,0.0
4.0,33.9,9303.926153846154,42.81846153846154,101,0,79.563,1,1.0,6.0,0,0,832.6979365424729,0.0
5.0,33.6,9383.98820058997,45.06194690265487,100,0,79.376,1,1.0,7.0,0,0,831.3843392607837,0.0
6.0,34.5,9330.59393939394,43.03939393939394,99,0,79.588,0,1.0,8.0,0,0,830.0707419790946,0.0
7.0,33.9,9310.346268656716,45.03283582089552,98,0,79.654,0,1.0,9.0,0,0,828.7571446974054,0.0
8.0,33.8,9304.595744680852,45.39817629179331,99,0,79.475,0,1.0,10.0,0,0,827.4435474157161,0.0
9.0,33.8,9471.993957703928,46.492447129909365,96,0,79.04,1,1.0,11.0,0,0,826.129950134027,0.0
10.0,33.8,9410.466666666667,45.85151515151515,94,0,78.93,1,1.0,12.0,0,0,824.8163528523378,0.0
11.0,33.7,9426.89090909091,45.94545454545455,92,0,79.175,0,1.0,13.0,0,0,823.5027555706486,0.0
12.0,33.9,9429.767857142857,45.86904761904762,95,0,79.067,0,1.0,14.0,0,0,822.1891582889593,0.0
13.0,34.0,9324.512195121952,44.54878048780488,95,0,79.495,0,1.0,15.0,0,1,820.8755610072702,0.0
14.0,33.7,9344.931952662722,44.71005917159764,104,17,79.668,0,1.0,16.0,0,0,819.561963725581,0.0
15.0,33.85,9172.112759643916,43.89614243323442,97,4,80.311,0,1.0,17.0,0,0,818.2483664438918,0.0
16.0,34.1,9518.701219512195,48.5640243902439,90,0,80.884,0,1.0,18.0,0,0,816.9347691622027,0.0
17.0,33.8,9571.276923076925,48.45230769230769,90,0,78.682,1,1.0,19.0,0,0,815.6211718805134,0.0
18.0,34.2,9603.422619047618,48.410714285714285,91,0,78.379,1,1.0,20.0,0,0,814.3075745988242,0.0
19.0,34.0,9623.984848484848,48.124242424242425,94,0,79.143,0,1.0,21.0,0,0,812.993977317135,0.0
20.0,33.8,8935.796208530806,50.88151658767772,134,0,79.263,0,1.0,22.0,0,0,811.6803800354458,0.0
21.0,33.95,9559.28698224852,44.124260355029584,107,0,100.898,0,1.0,23.0,0,0,810.3667827537566,29.269
22.0,34.1,9464.764350453172,46.413897280966765,103,0,81.571,0,3.0,1.0,1,0,809.0531854720674,0.0
23.0,34.3,9537.425,47.009375,97,0,78.373,1,3.0,2.0,1,0,807.7395881903782,0.0
24.0,34.45,9511.86809815951,47.37116564417178,96,0,77.546,1,3.0,3.0,1,0,806.4259909086891,0.0
25.0,33.8,9416.269113149849,46.37308868501529,104,0,77.869,0,3.0,4.0,1,0,805.1123936269998,0.0
26.0,33.8,9520.59021406728,45.642201834862384,100,0,78.157,0,3.0,5.0,1,0,803.7987963453106,0.0
27.0,33.75,9438.09696969697,45.48181818181818,104,0,78.206,0,3.0,6.0,1,0,802.4851990636214,0.0
28.0,34.2,9454.972727272729,44.94545454545455,108,14,78.708,0,3.0,7.0,1,0,801.1716017819323,0.0
