session_key,meeting_key,date,category,flag,lap_number,message,driver_number,scope,sector
9523,1236,2024-05-26T15:15:04+00:00,Flag,BLUE,70,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 17:15:03,2.0,Driver,
9523,1236,2024-05-26T15:15:10+00:00,Flag,BLUE,70,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 17:15:10,2.0,Driver,
9523,1236,2024-05-26T15:15:19+00:00,Flag,BLUE,70,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 17:15:18,24.0,Driver,
9523,1236,2024-05-26T15:18:23+00:00,Flag,BLUE,72,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 17:18:22,24.0,Driver,
9523,1236,2024-05-26T15:18:39+00:00,Flag,BLUE,72,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 17:18:39,24.0,Driver,
9523,1236,2024-05-26T15:19:38+00:00,Flag,BLUE,73,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 17:19:37,24.0,Driver,
9523,1236,2024-05-26T15:20:16+00:00,Flag,BLUE,74,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 17:20:15,24.0,Driver,
9523,1236,2024-05-26T15:21:36+00:00,Flag,BLUE,75,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:21:35,18.0,Driver,
9523,1236,2024-05-26T15:22:08+00:00,Flag,BLUE,75,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 17:22:08,77.0,Driver,
9523,1236,2024-05-26T15:22:43+00:00,Flag,BLUE,76,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 17:22:42,3.0,Driver,
9523,1236,2024-05-26T15:23:11+00:00,Flag,BLUE,76,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:23:10,14.0,Driver,
9523,1236,2024-05-26T15:26:26+00:00,Flag,CHEQUERED,78,CHEQUERED FLAG,,Track,
9523,1236,2024-05-26T15:26:30+00:00,Flag,BLUE,78,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:26:30,18.0,Driver,
9523,1236,2024-05-26T15:26:47+00:00,Other,,78,CAR 4 (NOR) TIME 1:17.296 DELETED - TRACK LIMITS AT TURN 10 LAP 78 17:26:06,,,
