meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1236,9523,81,185.0,176,276.0,2024-05-26T13:52:37.042000+00:00,80.808,False,21.207,37.68,21.921,"[2051, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2048, 2049, 2048, 2049, 2048]","[2049, 2049, 2048, 2049, 2048]",7
1236,9523,1,169.0,176,262.0,2024-05-26T13:54:05.343000+00:00,81.657,False,21.194,38.504,21.959,"[None, 2049, 2049, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",8
1236,9523,2,178.0,170,277.0,2024-05-26T13:54:12.679000+00:00,82.221,False,21.582,38.156,22.483,"[2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",8
1236,9523,3,187.0,164,284.0,2024-05-26T13:54:11.629000+00:00,82.433,False,21.868,38.303,22.262,"[2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2049, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2049, 2048]",8
1236,9523,4,187.0,181,276.0,2024-05-26T13:54:00.151000+00:00,80.82,False,21.342,37.851,21.627,"[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2049, 2049, 2048, 2048]",8
1236,9523,10,178.0,178,279.0,2024-05-26T13:54:09.128000+00:00,81.6,False,21.496,38.116,21.988,"[2049, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2049, 2049, 2048, 2048]",8
1236,9523,14,189.0,161,281.0,2024-05-26T13:54:11.305000+00:00,82.284,False,21.774,38.297,22.213,"[2049, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2051, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048]",8
1236,9523,16,190.0,178,270.0,2024-05-26T13:53:56.912000+00:00,81.03,False,21.25,38.171,21.609,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048]",8
1236,9523,18,170.0,179,268.0,2024-05-26T13:54:09.925000+00:00,81.653,False,21.713,38.133,21.807,"[2049, 2048, 2049, 2049, 2048, 2048]","[2049, 2049, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048]",8
1236,9523,22,178.0,173,276.0,2024-05-26T13:54:07.797000+00:00,81.651,False,21.607,38.301,21.743,"[2049, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048]",8
1236,9523,23,178.0,174,279.0,2024-05-26T13:54:08.488000+00:00,81.536,False,21.711,38.18,21.645,"[None, 2048, 2048, 2049, 2048, 2049]","[2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",8
1236,9523,24,175.0,179,279.0,2024-05-26T13:54:13.051000+00:00,82.182,False,21.642,38.286,22.254,"[2049, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",8
