LapNumber,TrackTemp,RPM,nGear,Throttle,Brake,DRS,LapTime,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Weight,PitDuration
60.0,34.4,9592.848765432098,3.654320987654321,50.22222222222222,82,0,77.639,0,3.0,23.0,1,1,759.746874876243,
61.0,34.4,9686.568322981366,3.590062111801242,50.56211180124224,82,0,77.777,0,3.0,24.0,1,1,758.4248659556968,
62.0,34.349999999999994,9703.804953560371,3.5944272445820435,51.20743034055727,80,0,77.432,0,3.0,25.0,1,1,757.1028570351505,
63.0,34.3,9659.598765432098,3.6049382716049374,49.74691358024691,83,0,77.51,0,3.0,26.0,1,1,755.7808481146042,
64.0,34.3,9647.75155279503,3.6552795031055902,50.31055900621118,80,0,77.442,0,3.0,27.0,1,1,754.4588391940579,
65.0,34.2,9664.5479876161,3.6160990712074303,50.241486068111456,84,0,77.136,1,3.0,28.0,1,1,753.1368302735116,
66.0,34.3,9619.02786377709,3.659442724458205,51.30959752321981,78,0,77.309,0,3.0,29.0,1,1,751.8148213529653,
67.0,34.3,9650.996904024769,3.625386996904025,51.241486068111456,82,0,77.288,0,3.0,30.0,1,1,750.492812432419,
68.0,34.65,9658.472222222224,3.608024691358025,50.54938271604938,82,0,77.099,1,3.0,31.0,1,1,749.1708035118727,
69.0,34.6,9641.47076923077,3.6338461538461537,50.30153846153846,80,0,77.241,0,3.0,32.0,1,1,747.8487945913265,
70.0,34.5,9659.932098765432,3.617283950617284,49.91358024691358,80,0,77.397,0,3.0,33.0,1,1,746.5267856707802,
71.0,34.4,9660.893048128342,3.748663101604278,53.42245989304813,90,0,77.659,0,3.0,34.0,1,1,745.2047767502339,
72.0,34.3,8775.20093457944,3.2266355140186915,37.98598130841121,88,0,89.53,0,3.0,35.0,1,126,743.8827678296876,
73.0,34.35,8853.477477477478,2.2882882882882885,29.77177177177177,94,0,102.394,0,3.0,36.0,1,67,742.5607589091413,
74.0,34.5,9644.64024390244,3.359756097560976,44.71646341463415,102,0,79.673,0,3.0,37.0,1,71,741.238749988595,
75.0,33.8,9670.112462006078,3.525835866261398,47.52887537993921,90,0,78.406,0,3.0,38.0,1,1,739.9167410680487,
76.0,33.7,9526.966666666667,3.575757575757576,46.98484848484848,89,0,78.724,0,3.0,39.0,1,1,738.5947321475026,
77.0,34.55,9564.654545454545,3.590909090909091,48.86969696969697,92,5,78.505,0,3.0,40.0,1,1,737.2727232269563,
78.0,34.46666666666667,9666.688953488372,3.546511627906977,48.73837209302326,95,31,79.179,0,3.0,41.0,1,1,735.95071430641,
1.0,33.75,9383.151335311572,3.026706231454006,39.11572700296736,102,0,90.842,0,,,1,2,841.319939418114,
2.0,33.9,9362.990963855422,3.5060240963855422,42.31024096385542,99,0,80.609,1,1.0,4.0,0,21,839.9469357696216,
3.0,33.9,9465.853293413174,3.5748502994011977,44.38622754491018,99,0,79.711,1,1.0,5.0,0,1,838.5739321211292,
4.0,33.9,9175.42042042042,3.807807807807808,44.25825825825826,99,0,79.563,1,1.0,6.0,0,1,837.2009284726367,
5.0,33.6,9341.123493975903,3.737951807228916,44.024096385542165,101,0,79.376,1,1.0,7.0,0,1,835.8279248241444,
6.0,34.5,9354.987987987988,3.6666666666666665,44.07207207207208,100,0,79.588,0,1.0,8.0,0,1,834.4549211756519,
7.0,33.9,9345.286144578313,3.659638554216868,43.38253012048193,99,0,79.654,0,1.0,9.0,0,1,833.0819175271595,
8.0,33.8,9283.29003021148,3.712990936555891,44.36858006042296,98,0,79.475,0,1.0,10.0,0,1,831.7089138786671,
9.0,33.8,9316.293051359517,3.740181268882176,45.72809667673716,99,0,79.04,1,1.0,11.0,0,1,830.3359102301746,
10.0,33.8,9470.863636363636,3.687878787878788,46.33030303030303,96,0,78.93,1,1.0,12.0,0,1,828.9629065816822,
11.0,33.7,9407.518181818185,3.6575757575757577,45.85151515151515,94,0,79.175,0,1.0,13.0,0,1,827.5899029331897,
12.0,33.9,9433.969879518072,3.671686746987952,46.2710843373494,92,0,79.067,0,1.0,14.0,0,1,826.2168992846973,
13.0,34.0,9426.47005988024,3.6407185628742513,45.54491017964072,95,0,79.495,0,1.0,15.0,0,12,824.8438956362049,
14.0,33.7,9355.9251497006,3.667664670658682,45.54491017964072,95,0,79.668,0,1.0,16.0,0,1,823.4708919877124,
15.0,33.85,9334.13353115727,3.646884272997033,44.545994065281896,104,11,80.311,0,1.0,17.0,0,1,822.09788833922,
