DriverNumber,LapNumber,RPM,nGear,Throttle,Brake,DRS,Year
3,1,9380.896024464831,3.3180428134556577,45.8348623853211,77,0,2018
3,2,9409.32,3.6769230769230767,48.550769230769234,72,0,2018
3,3,9442.592024539877,3.6595092024539877,47.97239263803681,76,0,2018
3,4,9444.92944785276,3.6809815950920246,47.66257668711656,70,0,2018
3,5,9475.366459627328,3.686335403726708,47.37267080745342,71,0,2018
3,6,9444.987616099072,3.696594427244582,47.78637770897833,76,0,2018
3,7,9471.41121495327,3.7133956386292835,47.88473520249221,85,0,2018
3,8,9493.622291021671,3.6904024767801857,47.417956656346746,76,0,2018
3,9,9521.009316770187,3.7049689440993787,47.590062111801245,75,0,2018
3,10,9489.68847352025,3.7196261682242993,48.09034267912772,78,0,2018
3,11,9540.21875,3.7375,48.75625,76,0,2018
3,12,9530.053968253967,3.765079365079365,48.574603174603176,78,0,2018
