LapNumber,TrackTemp,RPM,Throttle,Brake,DRS,LapTime,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Weight,PitDuration
75.0,33.8,9670.112462006078,47.52887537993921,90,0,78.406,0,3.0,38.0,1,0,739.9167410680487,0.0
76.0,33.7,9526.966666666667,46.98484848484848,89,0,78.724,0,3.0,39.0,1,0,738.5947321475026,0.0
77.0,34.55,9564.654545454545,48.86969696969697,92,5,78.505,0,3.0,40.0,1,0,737.2727232269563,0.0
78.0,34.46666666666667,9666.688953488372,48.73837209302326,95,31,79.179,0,3.0,41.0,1,0,735.95071430641,0.0
1.0,33.75,9383.151335311572,39.11572700296736,102,0,90.842,0,6.0,20.0,1,1,841.319939418114,0.0
2.0,33.9,9362.990963855422,42.31024096385542,99,0,80.609,1,1.0,4.0,0,1,839.9469357696216,0.0
3.0,33.9,9465.853293413174,44.38622754491018,99,0,79.711,1,1.0,5.0,0,0,838.5739321211292,0.0
4.0,33.9,9175.42042042042,44.25825825825826,99,0,79.563,1,1.0,6.0,0,0,837.2009284726367,0.0
5.0,33.6,9341.123493975903,44.024096385542165,101,0,79.376,1,1.0,7.0,0,0,835.8279248241444,0.0
6.0,34.5,9354.987987987988,44.07207207207208,100,0,79.588,0,1.0,8.0,0,0,834.4549211756519,0.0
7.0,33.9,9345.286144578313,43.38253012048193,99,0,79.654,0,1.0,9.0,0,0,833.0819175271595,0.0
8.0,33.8,9283.29003021148,44.36858006042296,98,0,79.475,0,1.0,10.0,0,0,831.7089138786671,0.0
9.0,33.8,9316.293051359517,45.72809667673716,99,0,79.04,1,1.0,11.0,0,0,830.3359102301746,0.0
10.0,33.8,9470.863636363636,46.33030303030303,96,0,78.93,1,1.0,12.0,0,0,828.9629065816822,0.0
11.0,33.7,9407.518181818185,45.85151515151515,94,0,79.175,0,1.0,13.0,0,0,827.5899029331897,0.0
12.0,33.9,9433.969879518072,46.2710843373494,92,0,79.067,0,1.0,14.0,0,0,826.2168992846973,0.0
13.0,34.0,9426.47005988024,45.54491017964072,95,0,79.495,0,1.0,15.0,0,1,824.8438956362049,0.0
14.0,33.7,9355.9251497006,45.54491017964072,95,0,79.668,0,1.0,16.0,0,0,823.4708919877124,0.0
15.0,33.85,9334.13353115727,44.545994065281896,104,11,80.311,0,1.0,17.0,0,0,822.09788833922,0.0
16.0,34.1,9115.128048780489,42.35670731707317,97,10,80.884,0,1.0,18.0,0,0,820.7248846907275,0.0
17.0,33.8,9531.650455927052,48.72036474164134,90,0,78.682,1,1.0,19.0,0,0,819.3518810422352,0.0
18.0,34.2,9597.824242424242,49.23333333333333,90,0,78.379,1,1.0,20.0,0,0,817.9788773937428,0.0
19.0,34.0,9580.743975903615,47.78915662650602,91,0,79.143,0,1.0,21.0,0,0,816.6058737452504,0.0
20.0,33.8,9738.314420803785,50.60283687943262,115,0,79.263,0,1.0,22.0,0,0,815.2328700967579,0.0
21.0,33.95,8710.85,50.14117647058824,113,0,100.898,0,1.0,23.0,0,0,813.8598664482655,29.269
22.0,34.1,9448.96319018405,42.06748466257669,107,0,81.571,0,3.0,1.0,1,0,812.486862799773,0.0
23.0,34.3,9440.076452599387,45.80733944954128,103,0,78.373,1,3.0,2.0,1,0,811.1138591512806,0.0
24.0,34.45,9568.323076923078,47.77538461538462,97,0,77.546,1,3.0,3.0,1,0,809.7408555027882,0.0
25.0,33.8,9510.827692307692,47.20923076923077,96,0,77.869,0,3.0,4.0,1,0,808.3678518542957,0.0
26.0,33.8,9421.529051987767,46.37308868501529,104,0,78.157,0,3.0,5.0,1,0,806.9948482058034,0.0
27.0,33.75,9536.224242424243,46.13636363636363,100,0,78.206,0,3.0,6.0,1,0,805.6218445573109,0.0
28.0,34.2,9422.787878787878,45.48181818181818,104,0,78.708,0,3.0,7.0,1,0,804.2488409088185,0.0
