LapNumber,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,Year,DriverNumber,RPM,nGear,Throttle,Brake,DRS,Time,Driver,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Weight
22.0,27.2,45.6,1015.1,34.1,170.0,1.5,0.0,2018,10,9547.164634146342,3.615853658536585,50.43292682926829,82,0,0 days 00:36:08.967000,GAS,0 days 00:01:18.824000,1.0,,,0 days 00:00:20.676000,0 days 00:00:36.864000,0 days 00:00:21.284000,0 days 00:35:10.830000,0 days 00:35:47.694000,0 days 00:36:08.978000,205.0,186.0,251.0,271.0,True,HYPERSOFT,26.0,False,Toro Rosso,0 days 00:34:50.143000,,1,7.0,False,,False,True,809.9832138570017
23.0,27.2,44.9,1015.1,34.3,162.0,2.2,0.0,2018,10,9555.612804878048,3.6280487804878048,50.707317073170735,78,0,0 days 00:37:27.398000,GAS,0 days 00:01:18.431000,1.0,,,0 days 00:00:20.586000,0 days 00:00:36.839000,0 days 00:00:21.006000,0 days 00:36:29.564000,0 days 00:37:06.403000,0 days 00:37:27.409000,206.0,190.0,250.0,271.0,True,HYPERSOFT,27.0,False,Toro Rosso,0 days 00:36:08.967000,,1,6.0,False,,False,True,808.6612049364554
24.0,27.55,43.8,1015.1,34.45,167.5,1.65,0.0,2018,10,9562.258358662611,3.6261398176291793,51.35866261398176,81,0,0 days 00:38:45.968000,GAS,0 days 00:01:18.570000,1.0,,,0 days 00:00:20.590000,0 days 00:00:36.942000,0 days 00:00:21.038000,0 days 00:37:47.999000,0 days 00:38:24.941000,0 days 00:38:45.979000,,191.0,249.0,268.0,False,HYPERSOFT,28.0,False,Toro Rosso,0 days 00:37:27.398000,,1,6.0,False,,False,True,807.3391960159091
25.0,27.3,47.1,1015.0,33.8,180.0,0.8,0.0,2018,10,9657.643292682927,3.576219512195122,50.46036585365854,80,0,0 days 00:40:04.669000,GAS,0 days 00:01:18.701000,1.0,,,0 days 00:00:20.595000,0 days 00:00:36.999000,0 days 00:00:21.107000,0 days 00:39:06.574000,0 days 00:39:43.573000,0 days 00:40:04.680000,202.0,190.0,250.0,271.0,False,HYPERSOFT,29.0,False,Toro Rosso,0 days 00:38:45.968000,,1,6.0,False,,False,True,806.0171870953628
26.0,27.3,47.1,1015.0,33.8,180.0,0.8,0.0,2018,10,9548.478658536584,3.643292682926829,50.99390243902439,82,0,0 days 00:41:23.074000,GAS,0 days 00:01:18.405000,1.0,,,0 days 00:00:20.522000,0 days 00:00:36.872000,0 days 00:00:21.011000,0 days 00:40:25.202000,0 days 00:41:02.074000,0 days 00:41:23.085000,,187.0,250.0,270.0,True,HYPERSOFT,30.0,False,Toro Rosso,0 days 00:40:04.669000,,1,6.0,False,,False,True,804.6951781748165
27.0,27.05,48.2,1015.0,33.75,138.5,1.6,0.0,2018,10,9522.09696969697,3.6151515151515152,49.56969696969697,79,0,0 days 00:42:41.986000,GAS,0 days 00:01:18.912000,1.0,,,0 days 00:00:20.640000,0 days 00:00:37.139000,0 days 00:00:21.133000,0 days 00:41:43.725000,0 days 00:42:20.864000,0 days 00:42:41.997000,204.0,191.0,250.0,271.0,False,HYPERSOFT,31.0,False,Toro Rosso,0 days 00:41:23.074000,,1,6.0,False,,False,True,803.3731692542704
28.0,27.0,48.3,1015.1,34.2,169.0,1.9,0.0,2018,10,9559.801829268292,3.652439024390244,50.26219512195122,88,0,0 days 00:44:00.221000,GAS,0 days 00:01:18.235000,1.0,,,0 days 00:00:20.503000,0 days 00:00:36.770000,0 days 00:00:20.962000,0 days 00:43:02.500000,0 days 00:43:39.270000,0 days 00:44:00.232000,207.0,192.0,251.0,271.0,True,HYPERSOFT,32.0,False,Toro Rosso,0 days 00:42:41.986000,,1,6.0,False,,False,True,802.051160333724
29.0,27.4,46.1,1015.0,34.4,158.0,0.9,0.0,2018,10,9531.658461538462,3.624615384615385,50.38461538461539,77,0,0 days 00:45:18.311000,GAS,0 days 00:01:18.090000,1.0,,,0 days 00:00:20.442000,0 days 00:00:36.702000,0 days 00:00:20.946000,0 days 00:44:20.674000,0 days 00:44:57.376000,0 days 00:45:18.322000,206.0,192.0,251.0,271.0,True,HYPERSOFT,33.0,False,Toro Rosso,0 days 00:44:00.221000,,1,6.0,False,,False,True,800.7291514131778
30.0,27.5,45.6,1015.0,34.4,158.0,2.1,0.0,2018,10,9526.231707317073,3.6646341463414633,50.1280487804878,78,0,0 days 00:46:36.613000,GAS,0 days 00:01:18.302000,1.0,,,0 days 00:00:20.483000,0 days 00:00:36.772000,0 days 00:00:21.047000,0 days 00:45:38.805000,0 days 00:46:15.577000,0 days 00:46:36.624000,207.0,191.0,250.0,273.0,False,HYPERSOFT,34.0,False,Toro Rosso,0 days 00:45:18.311000,,1,6.0,False,,False,True,799.4071424926315
31.0,27.5,45.45,1014.9,34.35,165.5,1.9,0.0,2018,10,9551.45871559633,3.623853211009174,50.75840978593272,80,0,0 days 00:47:54.876000,GAS,0 days 00:01:18.263000,1.0,,,0 days 00:00:20.516000,0 days 00:00:36.747000,0 days 00:00:21,0 days 00:46:57.140000,0 days 00:47:33.887000,0 days 00:47:54.887000,208.0,192.0,250.0,271.0,False,HYPERSOFT,35.0,False,Toro Rosso,0 days 00:46:36.613000,,1,6.0,False,,False,True,798.0851335720852
